All_India_Rank,Percentile
7161,99.2839313
8562,99.1437332
11609,98.8392642
12183,98.7817487
16018,98.3982746
20624,97.9376915
22470,97.7531204
29215,97.078632
29376,97.0625446
30443,96.9558408
32188,96.7813126
32496,96.7505208
32647,96.7353455
33783,96.6217624
35055,96.4946448
36611,96.3390419
37915,96.2086362
39773,96.0227743
44695,95.5306455
45261,95.4739419
46061,95.3940539
46199,95.380187
47659,95.2342842
48045,95.1955239
48074,95.1927882
49124,95.0876819
50069,94.993181
51341,94.8660097
51372,94.8628651
52393,94.7607964
53048,94.6952631
53431,94.6569649
54124,94.5877243
55406,94.4594549
55689,94.4311616
56024,94.3976314
56715,94.3285748
57530,94.2471656
58854,94.1146577
59790,94.0210634
61320,93.8681097
61537,93.8463815
62039,93.7963114
62872,93.7128919
63604,93.6397168
64018,93.5983472
64073,93.5928462
64393,93.5608117
64818,93.5182919
65087,93.4915012
65150,93.485095
65536,93.4464779
65628,93.4372677
66139,93.3861137
66161,93.3840411
66164,93.3835826
66369,93.3631997
68335,93.1665898
70244,92.975812
70869,92.9131084
71358,92.8642549
71916,92.8084932
72799,92.7201901
73323,92.6677725
73325,92.667596
73368,92.663237
73620,92.6381179
73996,92.6003839
74130,92.5870987
74491,92.55097
74629,92.5372508
74941,92.5060878
75589,92.4411834
76021,92.3980695
76522,92.3478842
77642,92.2358517
78595,92.1406873
78643,92.135826
78725,92.1276002
78984,92.1017344
79368,92.0633137
79555,92.0445965
79853,92.0147337
80127,91.9873865
80582,91.9419312
80915,91.9085939
81739,91.8262451
81983,91.8018192
82246,91.7754561
83206,91.679434
84749,91.5251921
84937,91.5063738
85167,91.4834168
85971,91.4029641
86187,91.3813692
87167,91.2834527
87936,91.2065074
88701,91.1299649
89061,91.0940009
89238,91.0763689
89668,91.0333147
90760,90.9241296
91160,90.8840624
91312,90.8689513
91314,90.8688159
91767,90.8233604
94502,90.5498409
94704,90.5297088
95012,90.4989438
95128,90.4872954
95630,90.4370473
96596,90.3404946
97089,90.2912299
97197,90.2803796
97432,90.2569304
97560,90.2441582
97623,90.237812
98063,90.1937986
98606,90.1395415
98734,90.1266572
98940,90.1060523
99813,90.0187867
99881,90.0119754
99924,90.0076598
100270,89.9731915
100395,89.9607086
100528,89.9472823
100787,89.9214046
100974,89.9026906
101021,89.8980554
101076,89.8925653
101638,89.8362111
101725,89.8276238
102078,89.7922347
102089,89.7912879
102363,89.763822
102459,89.7541588
103032,89.6968879
103278,89.6722856
103468,89.6533263
103924,89.6077521
104058,89.5942426
104560,89.5441919
105044,89.4957803
105159,89.4841562
106533,89.3468036
106742,89.3259855
106828,89.3173616
106834,89.3166832
107254,89.2747407
107398,89.2604499
107427,89.2574053
107799,89.2201684
108022,89.1979086
108534,89.1467123
108688,89.1312738
108719,89.1282221
108770,89.1230373
109035,89.0965667
109187,89.0814379
109394,89.0606123
109444,89.0557452
109592,89.0407994
109837,89.0163134
110558,88.9442751
110840,88.9161143
111135,88.8866663
111831,88.8170029
112228,88.7772877
112327,88.767429
112366,88.7634565
112470,88.753107
113034,88.69664
115228,88.4773041
115332,88.4668935
115862,88.4138598
115935,88.4066083
116032,88.3969079
116048,88.3953588
116195,88.3805197
116368,88.3632962
116510,88.349062
117248,88.2753435
117863,88.2138377
118290,88.1711254
118386,88.1614648
118456,88.1545443
119000,88.1000235
119449,88.0551132
119844,88.0156362
119922,88.0078983
120260,87.9741338
121046,87.8953512
121488,87.8513661
121510,87.8491066
121819,87.8181216
121945,87.805605
122110,87.7891546
122556,87.74453
122885,87.711655
122941,87.7059317
123122,87.6878793
123191,87.6809538
123216,87.6785859
123566,87.643532
124164,87.5838424
124214,87.5786766
124368,87.5632638
124498,87.5502929
124831,87.5170689
124869,87.5131817
124928,87.5073062
124933,87.5068048
125153,87.484802
125594,87.4406674
125837,87.4163931
126478,87.352291
127419,87.2581996
127921,87.2080472
128206,87.179588
128457,87.154358
128560,87.1440804
128564,87.1436587
129142,87.0859094
129565,87.0435731
129581,87.042012
129744,87.0257552
129886,87.0113737
129969,87.0032246
130891,86.910977
131396,86.860523
131746,86.8254552
132017,86.7984598
132099,86.7902457
132445,86.7556284
133090,86.6911397
134139,86.5861627
134954,86.504669
135140,86.4861376
135477,86.4523616
135529,86.4472723
135598,86.4402838
135644,86.4357251
136311,86.369105
136967,86.3033647
137382,86.2619034
137784,86.2217527
137929,86.2072476
139090,86.0910836
139132,86.0868742
139361,86.0639883
140219,85.9782724
140422,85.957886
140610,85.9391039
140792,85.9208787
141582,85.8419353
142312,85.7689078
142485,85.7515498
142577,85.7423516
142785,85.7215001
142842,85.7158584
142951,85.7050397
